ID	Type	Name	Value
1010.JP	-	《ブラッドロッド》	0
1010.EN	-	<Blood rod>	0
1009.JP	-	爆発する原子力の死んだライオン	0
1009.EN	-	NUCLEAR DEAD LION	0
1008.JP	-	暴魔の大剣	0
1008.EN	-	violent skull sword	0
1007.JP	-	《GARMS-2》	0
1007.EN	-	<Mighty Arms>	0
1006.JP	-	《ウィーテハウク》	0
1006.EN	-	<The White Hawk>	0
1005.JP	bottle	-	0
1005.EN	bottle	-	0
1004.JP	-	ジュースミキサー	0
1004.EN	-	Juice mixer	0
1003.JP	-	アルファ変異殻	0
1003.EN	-	alpha shift core	0
1002.JP	-	ベータ変異殻	0
1002.EN	-	beta shift core	0
1001.JP	-	ガンマ変異殻	0
1001.EN	-	gamma shift core	0
1000.JP	-	デルタ変異殻	0
1000.EN	-	delta shift core	0
999.JP	-	オメガ変異殻	0
999.EN	-	omega shift core	0
998.JP	-	《ソニックブルーム》	0
998.EN	-	<Sonic Broom>	0
997.JP	-	《鬼のパンツ》	0
997.EN	-	<Pants of Ogre>	0
996.JP	-	《イオンチャクラム》	0
996.EN	-	<Ion Cakram>	0
995.JP	-	《スパディール》	0
995.EN	-	<Spadille>	0
994.JP	-	四次元ミラー	0
994.EN	-	4-Dimensional mirror	0
993.JP	-	空の大型バスケット	0
993.EN	-	large empty basket	0
992.JP	-	大型ピクニックバスケット	0
992.EN	-	large picnic basket	0
991.JP	-	異界墓地の鍵	0
991.EN	-	DD cemetery key	0
990.JP	-	不思議な秘宝	0
990.EN	-	wonder body former	0
989.JP	-	トリス・マギストス	0
989.EN	-	trismagistus	0
988.JP	-	マギスト	0
988.EN	-	magistus	0
987.JP	-	暴れる魔剣	0
987.EN	-	skull sword	0
986.JP	-	《HL-KRSW》	0
986.EN	-	<HL-KRSW>	0
985.JP	-	《ラッキーアーモンド》	0
985.EN	-	<Lucky Almonds>	0
984.JP	-	デュエルグローブ	0
984.EN	-	duel glove	0
983.JP	-	《ブラッディ・ティアーズ》	0
983.EN	-	<Bloody Tears>	0
982.JP	-	眠り羊の夢枕	0
982.EN	-	sleep sheep	0
981.JP	-	《ウサミミ》	0
981.EN	-	<Usamimi>	0
980.JP	-	インサイトレンズ	0
980.EN	-	insight lens	0
979.JP	-	かぼちゃランタン	0
979.EN	-	jack lantern	0
978.JP	spellbook	集中の魔法書	0
978.EN	spellbook	concentration	0
977.JP	potion	翼鳥のポーション	0
977.EN	potion	feather	0
976.JP	potion	集中力向上のポーション	0
976.EN	potion	concentration	0
975.JP	-	《アルジェントスノウ》	0
975.EN	-	<Argent Snow>	0
974.JP	-	《アイヴィ・スパイン》	0
974.EN	-	<Ivy Spine>	0
973.JP	-	マグナム弾	0
973.EN	-	magnum	0
972.JP	-	被水の勾玉	0
972.EN	-	magaqua	0
971.JP	-	九神の印	0
971.EN	-	nine god sign	0
970.JP	jewel	神雫石	0
970.EN	jewel	tear of god	0
969.JP	jewel	ネフィアティア	0
969.EN	jewel	core of nefia	0
968.JP	-	マインドディスク	0
968.EN	-	mind disc	0
967.JP	-	E,G,G	0
967.EN	-	E.G.G	0
966.JP	statue	天使の像	0
966.EN	statue	angel statue	0
965.JP	-	ミニチュアゴーレム	0
965.EN	-	small stone golem	0
964.JP	-	地蔵	0
964.EN	-	zizou	0
963.JP	statue	仏像	0
963.EN	statue	butuzou	0
962.JP	-	ミニチュアゴーレム	0
962.EN	-	small wooden golem	0
961.JP	-	ペットハウス	0
961.EN	-	pethouse	0
960.JP	-	石材	0
960.EN	-	stone material	0
959.JP	-	《メロディウス》	0
959.EN	-	<Melodyus>	0
958.JP	-	《グランデイル》	0
958.EN	-	<Grandel>	0
957.JP	-	《スンバラリアヘッド》	0
957.EN	-	<Sunbararia Helm>	0
956.JP	-	鞭	0
956.EN	-	whip	0
955.JP	-	ソックス	0
955.EN	-	sox	0
954.JP	-	鎖鎌	0
954.EN	-	chainsickle	0
953.JP	-	弩砲	0
953.EN	-	ballista	0
952.JP	-	特製深海弁当	0
952.EN	-	abyss lunch	0
951.JP	-	《N97対戦艦自動砲》	0
951.EN	-	<N97 Cannon>	0
950.JP	-	《トリシューラ》	0
950.EN	-	<Trishula>	0
949.JP	-	《大太刀鳳閃火》	0
949.EN	-	<Housenka>	0
948.JP	-	《音切爪》	0
948.EN	-	<Otogiri>	0
947.JP	-	ジュークボックス	0
947.EN	-	Juke box	0
946.JP	-	四つ葉のクローバー	0
946.EN	-	four-leaf clover	0
945.JP	-	ロミアス	0
945.EN	-	romias	0
944.JP	-	柿	0
944.EN	-	kaki	0
943.JP	-	黄金どんぐり	0
943.EN	-	gold acorn	0
942.JP	-	どんぐり	0
942.EN	-	acorn	0
941.JP	-	火吸の勾玉	0
941.EN	-	magatama	0
940.JP	-	《アステロイドベルト》	0
940.EN	-	<Asteroid Belt>	0
939.JP	-	大岩	0
939.EN	-	rock	0
938.JP	-	鉤爪	0
938.EN	-	claw	0
937.JP	-	連弩	0
937.EN	-	repeating bow	0
936.JP	-	材木	0
936.EN	-	wood material	0
935.JP	tree	常世桜	0
935.EN	tree	sakura	0
934.JP	-	-	0
934.EN	-	-	0
933.JP	-	麻薬煙管	0
933.EN	-	kisel	0
932.JP	-	クラムベリー	0
932.EN	-	crimberry	0
931.JP	black gem stone	覚醒の宝玉	0
931.EN	black gem stone	Wake up of nefia	0
930.JP	red spindle	リンカネイト	0
930.EN	red spindle	soul spindle	0
929.JP	-	オカリナ	0
929.EN	-	ocarina	0
928.JP	-	リコーダー	0
928.EN	-	recorder	0
927.JP	-	セルパン	0
927.EN	-	serpent	0
926.JP	jewel	ルビナス	0
926.EN	jewel	brilliant rubynus	0
925.JP	tablet	エメラルド・タブレット	0
925.EN	tablet	emerald tablet	0
924.JP	jewel	ダイヤモンド	0
924.EN	jewel	brilliant diamond	0
923.JP	-	《ガルバグナウ》	0
923.EN	-	<Gur Bagh Nakh>	0
922.JP	-	《ネイベル・ネクス》	0
922.EN	-	<Astral Sickle>	0
921.JP	-	大型ブラシ	0
921.EN	-	big brush	0
920.JP	-	有機肥料	0
920.EN	-	organic fertilizer	0
919.JP	-	ナス	0
919.EN	-	eggplant	0
918.JP	-	コーン	0
918.EN	-	corn	0
917.JP	-	ポテト	0
917.EN	-	potato	0
916.JP	-	パイン	0
916.EN	-	pineapple	0
915.JP	-	梨	0
915.EN	-	apple pear	0
914.JP	-	バナナ	0
914.EN	-	banana	0
913.JP	-	メロン	0
913.EN	-	muskmelon	0
912.JP	-	スイカ	0
912.EN	-	watermelon	0
911.JP	bottle	永久防腐剤	0
911.EN	bottle	antiseptic	0
910.JP	-	ミニチュア魔導船	0
910.EN	-	miniature blimp	0
909.JP	deed	廃モンスター牧場の権利書	0
909.EN	deed	discarded ranch	0
908.JP	-	《常闇の杖》	0
908.EN	-	<Vice Staff>	0
907.JP	-	チョコレート手作りキット	0
907.EN	-	kit of making chocolate	0
906.JP	-	栗	0
906.EN	-	chestnut	0
905.JP	-	《危険な水着》	0
905.EN	-	<Danger Swimwear>	0
904.JP	-	《ウォースーツ》	0
904.EN	-	<War Suit>	0
903.JP	-	闇の棺	0
903.EN	-	coffin of necromancy	0
902.JP	-	たらばがに	0
902.EN	-	coconut crab 	0
901.JP	rod	雷光の波動の杖	0
901.EN	rod	lightning ball	0
900.JP	-	アストラル光筆	0
900.EN	-	astral light pen	0
899.JP	-	《グラビトンアクス》	0
899.EN	-	<Gravity Axe>	0
898.JP	-	《ドレイクロッド》	0
898.EN	-	<Drake Rod>	0
897.JP	deed	引越しの権利書	0
897.EN	deed	removal deed	0
896.JP	-	誰かの日記	0
896.EN	-	mysterious diary	0
894.JP	-	マンドラサラダ	0
894.EN	-	mandrake salad	0
893.JP	-	《ST-05 ソニック》	0
893.EN	-	<Sonic Tonfa>	0
871.JP	-	《ST-04 セイバー》	0
871.EN	-	<Saber Tonfa>	0
850.JP	-	《ST-03 スマッシュ》	0
850.EN	-	<Smash Tonfa>	0
892.JP	-	《ST-02 シールド》	0
892.EN	-	<Shield Tonfa>	0
895.JP	-	《ST-01 サクリファイス》	0
895.EN	-	<Sacrifice Tonfa>	0
891.JP	-	《イーグル＆レオン》	0
891.EN	-	<Griffon>	0
890.JP	-	マシンルアー	0
890.EN	-	<super lure>	0
889.JP	-	手作りチョコ	0
889.EN	-	handmade chocolate	0
888.JP	-	《ムーンライトセーバー》	0
888.EN	-	<Moonlight>	0
887.JP	rod	月蝕の波動の杖	0
887.EN	rod	eclipse	0
886.JP	-	魔よけの人形	0
886.EN	-	<Cleaning Doll>	0
885.JP	high potion	ソーマ	0
885.EN	high potion	soma	0
884.JP	high potion	ネクタル	0
884.EN	high potion	nektar 	0
883.JP	high potion	大災薬	0
883.EN	high potion	disaster	0
882.JP	high potion	サンクティオ	0
882.EN	high potion	aqua sanctio	0
881.JP	-	《AA-12アドバンス》	0
881.EN	-	<AA-12 Advance>	0
880.JP	-	《斬り札》	0
880.EN	-	<Slash Joker>	0
879.JP	-	《アルアビス》	0
879.EN	-	<Mag-Abyss>	0
878.JP	-	かきこむ名刺	0
878.EN	-	Blank Business Card	0
877.JP	-	賢者の石仮面	0
877.EN	-	Philosopher's Stone Mask	0
876.JP	-	犬笛	0
876.EN	-	<Dog Whistle>	0
875.JP	-	《七光の大弓》	0
875.EN	-	<Rainbow>	0
874.JP	-	《フラッシュボウガン》	0
874.EN	-	<Flash Crossbow>	0
873.JP	-	阿形の狛犬	0
873.EN	-	koma-inu	0
872.JP	-	吽形の狛犬	0
872.EN	-	koma-inu	0
870.JP	spellbook	フェザーの魔法書	0
870.EN	spellbook	feather	0
869.JP	-	-	0
869.EN	-	-	0
868.JP	-	《スパイラルカオス》	0
868.EN	-	<Unicorn Drill>	0
867.JP	-	イス焼き	0
867.EN	-	yith-yaki	0
866.JP	-	《ノヴァ・グレネード》	0
866.EN	-	<Nova Grenade>	0
865.JP	-	コマンドフラッグ	0
865.EN	-	command flag	0
864.JP	-	三角木馬	0
864.EN	-	wooden horse	0
863.JP	-	《フレイムザンバー》	0
863.EN	-	<Flame Edge>	0
862.JP	-	《ゴルネ・ツィーベル》	0
862.EN	-	<Zwiebel>	0
861.JP	-	《シールド・シールド》	0
861.EN	-	<Sealed Shield>	0
860.JP	-	《躰蝕の魔杖》	0
860.EN	-	<Vital flayer>	0
859.JP	statue	イツパロトル像	0
859.EN	statue	Itzpalt	0
858.JP	statue	ヤカテクト像	0
858.EN	statue	Yacatect	0
857.JP	-	エフェクト・スキャナー	0
857.EN	-	effect scanner	0
856.JP	-	巨大マリモ(荷車)	0
856.EN	-	marimo	0
855.JP	-	観賞用レーション(荷車)	0
855.EN	-	ration	0
854.JP	-	《釘ストラディバリウス》	0
854.EN	-	<Nail Stradivarius>	0
853.JP	-	狂人の日記	0
853.EN	-	Insane book	0
852.JP	-	禁断の肉塊	0
852.EN	-	forbidden meat	0
851.JP	-	《菊十文字》	0
851.EN	-	<Gerbera Cross>	0
849.JP	-	逆玉手弁当	0
849.EN	-	age return lunch	0
848.JP	-	玉手弁当	0
848.EN	-	aging lunch	0
847.JP	bottle	スピードリンク	0
847.EN	bottle	speed upper	0
846.JP	-	《ナイトメア》	0
846.EN	-	<Nightmare>	0
845.JP	-	和太鼓	0
845.EN	-	wadaiko	0
844.JP	-	かき氷	0
844.EN	-	shaved ice	0
843.JP	-	マジカルアイス	0
843.EN	-	magic ice	0
842.JP	-	ブラックドリップ	0
842.EN	-	black drip	0
841.JP	-	ランプラント	0
841.EN	-	lamp plant	0
840.JP	-	カオスジュエル	0
840.EN	-	chaos jewel	0
839.JP	-	エーテルの鏡	0
839.EN	-	ether mirror	0
838.JP	-	イカロスの翼	0
838.EN	-	ikaros wing	0
837.JP	-	トロール細胞	0
837.EN	-	troll cell	0
836.JP	-	殺人ＣＤ	0
836.EN	-	murder CD	0
835.JP	-	火鉢	0
835.EN	-	hibachi	0
834.JP	-	蓄電池	0
834.EN	-	accumulator	0
833.JP	-	グリア結晶	0
833.EN	-	glia crystal	0
832.JP	-	クズ竜	0
832.EN	-	waste art	0
831.JP	-	《神を殺せる本》	0
831.EN	-	<Buster Book>	0
830.JP	-	《ライ》	0
830.EN	-	<Stone Coin>	0
829.JP	-	《魔断の指輪》	0
829.EN	-	<Magic Canceler>	0
828.JP	-	《金色の鎖》	0
828.EN	-	<Aureate Constricter>	0
827.JP	-	《精霊手甲》	0
827.EN	-	<Blue Spirit>	0
826.JP	-	《妖刀黒鳥兜》	0
826.EN	-	<Black monkshood>	0
825.JP	-	ギャラメﾞル	0
825.EN	-	caramel of termination	0
824.JP	-	《不殺の刺又》	0
824.EN	-	<Sasumata>	0
823.JP	-	《機械拘束具》	0
823.EN	-	<Mechanical binder>	0
822.JP	-	《神緑の茨》	0
822.EN	-	<Green god thorn>	0
821.JP	-	《大地の足枷》	0
821.EN	-	<Fetter of earth>	0
820.JP	-	《運命の輪》	0
820.EN	-	<Wheel of fortune>	0
819.JP	-	《暴風の首輪》	0
819.EN	-	<Tempest coller>	0
818.JP	Mani's gem stone	マニの切り札の宝玉	0
818.EN	Mani's gem stone	satellite shooter	0
817.JP	-	狙撃銃	0
817.EN	-	sniper rifle	0
816.JP	-	《ベーラヤ・スメルチ》	0
816.EN	-	<Valkoinen Kuolema>	0
815.JP	-	砂のお城	0
815.EN	-	sand castle	0
814.JP	-	《メタルヴェスダの機械翼》	0
814.EN	-	<Metal Wing of Vesda>	0
813.JP	-	《リボルケイン》	0
813.EN	-	<Solar Cane>	0
812.JP	-	おにぎり	0
812.EN	-	rice ball	0
811.JP	-	姉の秘密の日記	0
811.EN	-	dog sister's diary	0
810.JP	-	《ストームブリンガー》	0
810.EN	-	<Storm Bringer>	0
809.JP	-	姉の日記	0
809.EN	-	older sister's diary	0
808.JP	-	《カインドネス》	0
808.EN	-	<Kindness Blade>	0
807.JP	-	《ドレッドノート》	0
807.EN	-	<Dreadnought>	0
806.JP	-	《G3-EXA》	0
806.EN	-	<G3-EXA>	0
805.JP	-	《神壊の大戦斧》	0
805.EN	-	<God Breaker>	0
804.JP	-	《ギガモールの骨鎌》	0
804.EN	-	<Beast Sickle>	0
803.JP	-	《英雄のマント》	0
803.EN	-	<Hero's cloak>	0
802.JP	-	《カストル＆ポルックス》	0
802.EN	-	<Gemini >	0
801.JP	-	《落椿》	0
801.EN	-	<Oti-Tubaki>	0
800.JP	-	《特殊防護スーツ》	0
800.EN	-	<Awesome Swimwear>	0
799.JP	-	ヴェルニースオリジナル	0
799.EN	-	<Vernis Original>	0
798.JP	-	《轟海刀》	0
798.EN	-	<Dynamic Saber>	0
797.JP	Yacatect's gem stone	ヤカテクトの小遣銭の宝玉	0
797.EN	Yacatect's gem stone	god medal	0
796.JP	-	《寛永通宝》	0
796.EN	-	<Kaneituuhou>	0
795.JP	-	《GAU-17ミニガン改》	0
795.EN	-	<GAU-17 Custom>	0
794.JP	-	《ネガティブエッヂ》	0
794.EN	-	<Negative Edge>	0
793.JP	-	《パイルバンカー帯電式Y型》	0
793.EN	-	<Pile Driver>	0
792.JP	-	プチトロ	0
792.EN	-	putitoro	0
791.JP	-	《ドラゴン殺し》	0
791.EN	-	<Dragon Slayer>	0
790.JP	-	《賢者の錬金釜》	0
790.EN	-	pot of alchemist	0
789.JP	-	合成の壺	0
789.EN	-	pot for fusion	0
788.JP	-	骨弓	0
788.EN	-	skull bow	0
787.JP	-	ふかふかパン	0
787.EN	-	puff puff bread	0
786.JP	sack	砂糖	0
786.EN	sack	sugar	0
785.JP	bottle	塩	0
785.EN	bottle	salt	0
784.JP	-	カードパック	0
784.EN	-	card pack	0
783.JP	-	レシピ	0
783.EN	-	recipe	0
782.JP	-	皿	0
782.EN	-	large dish	0
781.JP	-	包丁	0
781.EN	-	kitchen knife	0
780.JP	-	毛皮の敷物	0
780.EN	-	fur carpet	0
779.JP	-	鹿の剥製	0
779.EN	-	deer head	0
778.JP	-	高級ソファー	0
778.EN	-	luxury sofa	0
777.JP	statue	マニ像	0
777.EN	statue	Mani	0
776.JP	statue	クミロミ像	0
776.EN	statue	Kumiromi	0
775.JP	-	特製肉まんじゅう	0
775.EN	-	special steamed meat bun	0
774.JP	-	高級キャビネット	0
774.EN	-	luxury cabinet	0
773.JP	-	おっきな本棚	0
773.EN	-	large bookshelf	0
772.JP	-	トマト	0
772.EN	-	tomato	0
771.JP	-	ブルーカプセルドラッグ	0
771.EN	-	blue capsule drag	0
770.JP	bottle	ラムネ	0
770.EN	bottle	soda	0
769.JP	-	ミニチュアツリー	0
769.EN	-	miniature tree	0
768.JP	-	正月飾り	0
768.EN	-	new year's decoration	0
767.JP	-	ジュアの抱き枕	0
767.EN	-	Jure's body pillow	0
766.JP	-	青い屋根の屋台	0
766.EN	-	blue stall	0
765.JP	-	赤い屋根の屋台	0
765.EN	-	red stall	0
764.JP	-	カウンター	0
764.EN	-	counter	0
763.JP	-	台座	0
763.EN	-	pedestal	0
762.JP	-	聖夜祭の花冠	0
762.EN	-	festival wreath	0
761.JP	-	《グールドのピアノ》	0
761.EN	-	<Gould's Piano>	0
760.JP	-	ガロクの槌	0
760.EN	-	Garok's hammer	0
759.JP	-	ライトセーバー	0
759.EN	-	lightsabre	0
758.JP	-	《マウザーC96カスタム》	0
758.EN	-	<Mauser C96 Custom>	0
757.JP	-	《五本角の兜》	0
757.EN	-	<Five Horned Helm>	0
756.JP	-	もち	0
756.EN	-	mochi	0
755.JP	-	鏡もち	0
755.EN	-	kagami mochi	0
754.JP	-	だるま	0
754.EN	-	daruma	0
753.JP	-	こたつ	0
753.EN	-	kotatsu	0
752.JP	-	お年玉	0
752.EN	-	new year's gift	0
751.JP	-	降り階段	0
751.EN	-	downstairs	0
750.JP	-	昇り階段	0
750.EN	-	upstairs	0
749.JP	statue	創造主の像	0
749.EN	statue	Creator	0
748.JP	-	召喚石	0
748.EN	-	summoning crystal	0
747.JP	book	ボコノンの書	0
747.EN	book	Bokonon	0
746.JP	-	調教鞭	0
746.EN	-	tamer's whip	0
745.JP	objet	こころ	0
745.EN	objet	heart	0
744.JP	catbox	シュレディンガーの猫	0
744.EN	catbox	Schrodinger's cat 	0
743.JP	plank	《カルネアデスの板》	0
743.EN	plank	Carneades	0
742.JP	license	すくつ探索許可証	0
742.EN	license	the void explorer	0
741.JP	-	《飛竜刀》	0
741.EN	-	<Hiryu-To>	0
740.JP	-	《謎の貝》	0
740.EN	-	<Unknown Shell>	0
739.JP	-	《フリージアの尻尾》	0
739.EN	-	<Frisia's Tail>	0
738.JP	-	フォーチュンクッキー	0
738.EN	-	fortune cookie	0
737.JP	scroll	名前の巻物	0
737.EN	scroll	name	0
736.JP	-	耐熱コーティング液	0
736.EN	-	fireproof liquid	0
735.JP	-	大鎌	0
735.EN	-	scythe	0
734.JP	-	小さな宝くじ箱	0
734.EN	-	small gamble chest	0
733.JP	-	サンドバッグ	0
733.EN	-	sand bag	0
732.JP	spellbook	収穫の魔法書	0
732.EN	spellbook	harvest	0
731.JP	spellbook	四次元ポケットの魔法書	0
731.EN	spellbook	4 dimensional pocket	0
730.JP	token	友情の証	0
730.EN	token	friendship	0
729.JP	-	おみやげ	0
729.EN	-	gift	0
728.JP	-	《紅凛》	0
728.EN	-	<Crimson Plate>	0
727.JP	-	《棘の盾》	0
727.EN	-	<Shield ofThorn>	0
726.JP	-	《アル・ウード》	0
726.EN	-	<Al'ud>	0
725.JP	-	《キルキルピアノ》	0
725.EN	-	<Kill Kill Piano>	0
724.JP	-	音楽チケット	0
724.EN	-	music ticket	0
723.JP	-	《ツインエッジ》	0
723.EN	-	<Twin Edge>	0
722.JP	-	《アルバレスト》	0
722.EN	-	<Arbalest>	0
721.JP	statue	エヘカトル像	0
721.EN	statue	Ehekatl	0
720.JP	-	幸せのベッド	0
720.EN	-	happy bed	0
719.JP	-	《クレイモア》	0
719.EN	-	<Claymore>	0
718.JP	-	《シーナのパンティー》	0
718.EN	-	<Shena's Panty>	0
717.JP	secret experience	ロミアスの秘密の経験	0
717.EN	secret experience	Lomias	0
716.JP	-	《バニラロック》	0
716.EN	-	<Vanilla Rock>	0
715.JP	secret experience	クミロミの秘密の経験	0
715.EN	secret experience	Kumiromi	0
714.JP	-	手榴弾	0
714.EN	-	grenade	0
713.JP	-	手裏剣	0
713.EN	-	shuriken	0
712.JP	deed	ダンジョンの権利書	0
712.EN	deed	dungeon	0
711.JP	potion	進化のポーション	0
711.EN	potion	evolution	0
710.JP	spellbook	契約の魔法書	0
710.EN	spellbook	contingency	0
709.JP	scroll	契約の巻物	0
709.EN	scroll	contingency	0
708.JP	book	復活の書	0
708.EN	book	resurrection	0
707.JP	-	《ストラディバリウス》	0
707.EN	-	<Stradivarius>	0
706.JP	potion	下落のポーション	0
706.EN	potion	descent	0
705.JP	-	《乞食のペンダント》	0
705.EN	-	<Begger's Pendant>	0
704.JP	-	ゲロゲロ	0
704.EN	-	vomit	0
703.JP	-	ホイッスル	0
703.EN	-	whistle	0
702.JP	-	うさぎのしっぽ	0
702.EN	-	rabbit's tail	0
701.JP	-	デッキ	0
701.EN	-	deck	0
700.JP	-	タウンブック	0
700.EN	-	town book	0
699.JP	-	リトル捕獲玉	0
699.EN	-	little ball	0
698.JP	potion	食塩水	0
698.EN	potion	salt solution	0
697.JP	spellbook	魔力の集積の魔法書	0
697.EN	spellbook	magic laser	0
696.JP	spellbook	魔力の嵐の魔法書	0
696.EN	spellbook	magic ball	0
695.JP	-	《破壊の斧》	0
695.EN	-	<Axe of Destruction>	0
694.JP	-	間仕切り	0
694.EN	-	eastern partition	0
693.JP	-	ハープ	0
693.EN	-	harp	0
692.JP	-	ハーモニカ	0
692.EN	-	harmonica	0
691.JP	-	リュート	0
691.EN	-	lute	0
690.JP	-	パンフルート	0
690.EN	-	pan flute	0
689.JP	-	ギロチン	0
689.EN	-	guillotine	0
688.JP	-	アイアンメイデン	0
688.EN	-	iron maiden	0
687.JP	-	古書物	0
687.EN	-	ancient book	0
686.JP	statue	ジュア像	0
686.EN	statue	Jure	0
685.JP	-	モンスターボール	0
685.EN	-	monster ball	0
684.JP	-	能力複合機	0
684.EN	-	gene machine	0
683.JP	energy crystal	再構成マトリクス	0
683.EN	energy crystal	matrix	0
682.JP	Kumiromi's gem stone	クミロミの活性化の宝玉	0
682.EN	Kumiromi's gem stone	rejuvenation	0
681.JP	Jure's gem stone	ジュアの聖なる雨の宝玉	0
681.EN	Jure's gem stone	holy rain	0
680.JP	Lulwy's gem stone	ルルウィの神速の宝玉	0
680.EN	Lulwy's gem stone	god speed	0
679.JP	-	《大地の大槌》	0
679.EN	-	Gaia Hammer>	0
678.JP	-	《ラッキーダガー》	0
678.EN	-	<Lucky Dagger>	0
677.JP	-	《ホーリーランス》	0
677.EN	-	<Holy Rance>	0
676.JP	-	《エレメンタルスタッフ》	0
676.EN	-	<Elemental Staff>	0
675.JP	-	《クミロミサイズ》	0
675.EN	-	<Kumiromi Sythe>	0
674.JP	-	《ウィンチェスター・プレミアム》	0
674.EN	-	<Winchester Premium>	0
673.JP	-	《ウィンドボウ》	0
673.EN	-	<Wind Bow>	0
672.JP	-	秘宝	0
672.EN	-	secret treasure	0
671.JP	-	原子爆弾『Cat's Cradle』	0
671.EN	-	nuclear bomb	0
670.JP	-	お絵かきセット(荷車)	0
670.EN	-	canvas	0
669.JP	-	絵画(荷車)	0
669.EN	-	art	0
668.JP	-	レイチェルの絵本	0
668.EN	-	book	0
667.JP	-	妹が愛を込めて作ったお弁当	0
667.EN	-	sister's love fueled lunch	0
666.JP	statue	ルルウィ像	0
666.EN	statue	Lulwy	0
665.JP	statue	オパートス像	0
665.EN	statue	Opatos	0
